"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined.",,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
Census Regions,New England,2012,40,197,0.507614,0,0,1,0,0,0,0
Census Regions,Mid-Atlantic,2012,40,548,1.09489,1,0,3,0,0,2,0
Census Regions,East North Central,2012,40,203,4.92611,0,0,3,0,0,7,0
Census Regions,West North Central,2012,40,491,1.62933,0,0,4,0,0,4,0
Census Regions,South Atlantic,2012,40,1109,5.59062,6,0,11,6,0,39,0
Census Regions,East South Central,2012,40,132,2.27273,0,0,3,0,0,0,0
Census Regions,West South Central,2012,40,614,4.07166,0,0,5,2,0,18,0
Census Regions,Mountain,2012,40,517,4.44874,2,0,19,0,0,2,0
Census Regions,Pacific,2012,40,702,4.70085,0,0,24,3,0,6,0
Census Regions,New England,2012,41,204,0.490196,0,0,1,0,0,0,0
Census Regions,Mid-Atlantic,2012,41,609,2.29885,1,0,6,0,0,7,0
Census Regions,East North Central,2012,41,195,1.53846,1,0,1,0,0,1,0
Census Regions,West North Central,2012,41,606,5.61056,1,0,16,0,0,17,0
Census Regions,South Atlantic,2012,41,1205,7.21992,3,0,10,21,0,53,0
Census Regions,East South Central,2012,41,98,4.08163,0,0,3,0,0,1,0
Census Regions,West South Central,2012,41,690,2.6087,0,0,4,1,0,13,0
Census Regions,Mountain,2012,41,584,1.88356,1,0,7,0,0,3,0
Census Regions,Pacific,2012,41,723,2.90456,0,0,19,2,0,0,0
Census Regions,New England,2012,42,211,0.473934,0,0,1,0,0,0,0
Census Regions,Mid-Atlantic,2012,42,690,4.34783,0,0,15,4,0,11,0
Census Regions,East North Central,2012,42,204,1.96078,0,0,3,0,0,1,0
Census Regions,West North Central,2012,42,708,10.7345,0,0,45,4,0,27,0
Census Regions,South Atlantic,2012,42,1433,7.6762,2,0,18,33,0,57,0
Census Regions,East South Central,2012,42,150,2.66667,0,0,4,0,0,0,0
Census Regions,West South Central,2012,42,688,3.34302,2,0,2,3,0,16,0
Census Regions,Mountain,2012,42,520,2.88462,0,0,7,2,0,6,0
Census Regions,Pacific,2012,42,645,6.51163,0,0,36,2,0,4,0
Census Regions,New England,2012,43,224,1.33929,0,0,3,0,0,0,0
Census Regions,Mid-Atlantic,2012,43,639,6.57277,1,0,18,3,0,20,0
Census Regions,East North Central,2012,43,241,3.73444,0,0,6,0,0,3,0
Census Regions,West North Central,2012,43,648,9.25926,0,0,30,2,0,28,0
Census Regions,South Atlantic,2012,43,1443,8.17741,2,0,24,35,0,57,0
Census Regions,East South Central,2012,43,140,4.28571,0,0,6,0,0,0,0
Census Regions,West South Central,2012,43,620,4.19355,0,0,5,5,0,16,0
Census Regions,Mountain,2012,43,575,4.34783,0,0,10,0,0,15,0
Census Regions,Pacific,2012,43,776,7.60309,0,0,50,7,0,2,0
Census Regions,New England,2012,44,230,3.91304,0,0,8,0,0,1,0
Census Regions,Mid-Atlantic,2012,44,504,6.94444,0,0,15,3,0,17,0
Census Regions,East North Central,2012,44,222,4.5045,1,0,6,2,0,1,0
Census Regions,West North Central,2012,44,638,10.3448,2,0,33,3,0,28,0
Census Regions,South Atlantic,2012,44,1433,8.93231,0,0,25,56,0,47,0
Census Regions,East South Central,2012,44,129,9.30233,0,0,12,0,0,0,0
Census Regions,West South Central,2012,44,758,6.72823,0,0,9,10,0,32,0
Census Regions,Mountain,2012,44,614,7.98046,0,0,27,0,0,22,0
Census Regions,Pacific,2012,44,878,7.40319,1,0,53,5,0,6,0
Census Regions,New England,2012,45,216,3.7037,0,0,7,1,0,0,0
Census Regions,Mid-Atlantic,2012,45,648,5.55556,1,0,13,6,0,16,0
Census Regions,East North Central,2012,45,241,9.95851,0,0,12,1,0,11,0
Census Regions,West North Central,2012,45,751,13.5819,0,0,53,4,0,45,0
Census Regions,South Atlantic,2012,45,1674,12.3656,2,0,51,79,0,75,0
Census Regions,East South Central,2012,45,146,18.4932,1,0,23,0,0,3,0
Census Regions,West South Central,2012,45,988,8.40081,1,0,23,21,0,38,0
Census Regions,Mountain,2012,45,749,9.47931,0,0,31,1,0,39,0
Census Regions,Pacific,2012,45,1033,6.87318,0,0,64,3,0,4,0
Census Regions,New England,2012,46,189,4.2328,0,0,7,1,0,0,0
Census Regions,Mid-Atlantic,2012,46,729,7.40741,0,0,24,18,0,12,0
Census Regions,East North Central,2012,46,247,19.4332,3,0,32,3,0,10,0
Census Regions,West North Central,2012,46,758,19.3931,1,0,74,4,0,66,2
Census Regions,South Atlantic,2012,46,1874,17.5027,3,0,99,154,0,72,0
Census Regions,East South Central,2012,46,164,22.561,1,0,31,2,0,3,0
Census Regions,West South Central,2012,46,1068,9.55056,0,0,23,29,0,50,0
Census Regions,Mountain,2012,46,767,11.4733,0,0,40,2,0,46,0
Census Regions,Pacific,2012,46,925,9.2973,0,0,74,4,0,8,0
Census Regions,New England,2012,47,197,9.64467,0,0,16,2,0,1,0
Census Regions,Mid-Atlantic,2012,47,715,8.81119,3,0,36,17,0,7,0
Census Regions,East North Central,2012,47,258,39.9225,0,0,69,3,0,31,0
Census Regions,West North Central,2012,47,732,19.2623,1,0,83,1,0,56,0
Census Regions,South Atlantic,2012,47,2374,21.23,0,0,132,293,0,79,0
Census Regions,East South Central,2012,47,217,32.7189,0,0,62,3,0,6,0
Census Regions,West South Central,2012,47,1141,17.5285,1,0,33,76,0,90,0
Census Regions,Mountain,2012,47,838,19.0931,2,0,70,5,0,83,0
Census Regions,Pacific,2012,47,961,11.2383,0,0,90,7,0,11,0
Census Regions,New England,2012,48,229,14.4105,0,0,27,1,0,5,0
Census Regions,Mid-Atlantic,2012,48,977,20.9826,4,0,128,43,0,30,0
Census Regions,East North Central,2012,48,340,37.9412,2,0,97,8,0,22,0
Census Regions,West North Central,2012,48,972,24.5885,2,0,150,9,0,78,0
Census Regions,South Atlantic,2012,48,2894,25.7775,3,0,218,408,0,117,0
Census Regions,East South Central,2012,48,308,39.6104,0,0,102,11,0,9,0
Census Regions,West South Central,2012,48,1508,14.5889,1,0,70,49,0,100,0
Census Regions,Mountain,2012,48,1078,21.7069,4,0,98,12,0,120,0
Census Regions,Pacific,2012,48,1027,15.6767,3,0,132,4,0,22,0
Census Regions,New England,2012,49,379,33.7731,0,0,107,8,0,13,0
Census Regions,Mid-Atlantic,2012,49,1357,26.4554,12,0,253,67,0,27,0
Census Regions,East North Central,2012,49,609,50.5747,3,0,238,15,0,52,0
Census Regions,West North Central,2012,49,1229,32.8723,3,0,293,32,0,76,0
Census Regions,South Atlantic,2012,49,3748,33.2177,4,0,385,712,0,144,0
Census Regions,East South Central,2012,49,430,38.8372,1,0,146,9,0,11,0
Census Regions,West South Central,2012,49,1821,21.5266,0,0,103,131,0,158,0
Census Regions,Mountain,2012,49,1351,26.5729,9,0,140,23,0,187,0
Census Regions,Pacific,2012,49,1136,14.0845,7,0,122,6,0,25,0
Census Regions,New England,2012,50,515,49.1262,6,0,216,22,0,9,0
Census Regions,Mid-Atlantic,2012,50,1911,35.1648,19,0,418,195,0,40,0
Census Regions,East North Central,2012,50,811,56.8434,1,0,372,30,0,58,0
Census Regions,West North Central,2012,50,1442,39.5284,3,0,411,47,0,109,0
Census Regions,South Atlantic,2012,50,4480,31.942,10,0,607,690,0,124,0
Census Regions,East South Central,2012,50,457,43.5449,0,0,163,15,0,21,0
Census Regions,West South Central,2012,50,2181,23.4296,2,0,86,164,0,259,0
Census Regions,Mountain,2012,50,1647,30.4189,4,0,235,47,0,215,0
Census Regions,Pacific,2012,50,1267,15.7064,8,0,154,16,0,21,0
Census Regions,New England,2012,51,809,52.6576,8,0,364,30,0,24,0
Census Regions,Mid-Atlantic,2012,51,2370,42.7848,14,0,616,316,0,68,0
Census Regions,East North Central,2012,51,880,57.1591,5,0,393,34,0,71,0
Census Regions,West North Central,2012,51,1676,40.1551,2,0,485,68,0,118,0
Census Regions,South Atlantic,2012,51,4659,36.5314,14,0,911,612,0,165,0
Census Regions,East South Central,2012,51,439,35.9909,0,0,129,21,0,8,0
Census Regions,West South Central,2012,51,2698,29.6516,1,0,174,243,0,382,0
Census Regions,Mountain,2012,51,2127,39.3512,5,0,463,87,0,282,0
Census Regions,Pacific,2012,51,1246,17.496,6,0,168,8,0,36,0
Census Regions,New England,2012,52,918,53.0501,9,0,402,57,0,19,0
Census Regions,Mid-Atlantic,2012,52,2399,39.0579,24,0,551,308,0,54,0
Census Regions,East North Central,2012,52,728,53.2967,2,0,299,43,0,44,0
Census Regions,West North Central,2012,52,1935,41.0336,7,0,538,131,0,118,0
Census Regions,South Atlantic,2012,52,5062,38.4433,22,0,1033,701,0,190,0
Census Regions,East South Central,2012,52,328,34.4512,3,0,83,17,0,10,0
Census Regions,West South Central,2012,52,2812,30.6543,1,0,144,315,0,402,0
Census Regions,Mountain,2012,52,2542,39.7718,10,0,499,170,0,332,0
Census Regions,Pacific,2012,52,1415,23.4629,10,0,276,16,0,30,0
Census Regions,New England,2013,1,938,43.9232,11,0,297,91,0,13,0
Census Regions,Mid-Atlantic,2013,1,2590,36.5251,26,0,478,361,0,81,0
Census Regions,East North Central,2013,1,800,53,2,0,326,61,0,35,0
Census Regions,West North Central,2013,1,2249,40.5958,5,0,613,159,0,136,0
Census Regions,South Atlantic,2013,1,4893,35.1114,22,0,817,680,0,199,0
Census Regions,East South Central,2013,1,399,27.5689,1,0,77,23,0,9,0
Census Regions,West South Central,2013,1,3071,28.7854,7,0,237,305,0,335,0
Census Regions,Mountain,2013,1,3087,37.1882,15,0,584,244,0,305,0
Census Regions,Pacific,2013,1,1646,23.633,6,0,294,56,0,33,0
Census Regions,New England,2013,2,1088,42.4632,10,0,358,75,0,19,0
Census Regions,Mid-Atlantic,2013,2,3077,33.8642,36,0,505,394,0,107,0
Census Regions,East North Central,2013,2,1040,42.5962,6,0,349,41,0,47,0
Census Regions,West North Central,2013,2,2531,35.5986,9,0,564,199,0,129,0
Census Regions,South Atlantic,2013,2,5130,32.9435,16,0,865,605,0,204,0
Census Regions,East South Central,2013,2,484,33.2645,3,0,128,9,0,21,0
Census Regions,West South Central,2013,2,3498,31.1607,6,0,278,431,0,375,0
Census Regions,Mountain,2013,2,3310,35.8006,19,0,574,311,0,281,0
Census Regions,Pacific,2013,2,2066,30.3969,21,0,452,101,0,54,0
Census Regions,New England,2013,3,924,34.5238,6,0,239,53,0,21,0
Census Regions,Mid-Atlantic,2013,3,3359,28.0738,44,0,418,361,0,120,0
Census Regions,East North Central,2013,3,883,36.5798,4,0,232,50,0,37,0
Census Regions,West North Central,2013,3,2091,32.4725,14,0,425,120,0,120,0
Census Regions,South Atlantic,2013,3,4435,28.8613,15,0,636,435,0,194,0
Census Regions,East South Central,2013,3,360,23.8889,0,0,57,6,0,23,0
Census Regions,West South Central,2013,3,3185,30.8948,2,0,245,433,0,304,0
Census Regions,Mountain,2013,3,3385,34.1211,25,0,547,308,0,275,0
Census Regions,Pacific,2013,3,2309,27.0247,17,0,433,126,0,48,0
Census Regions,New England,2013,4,627,30.7815,6,0,117,43,0,27,0
Census Regions,Mid-Atlantic,2013,4,2622,24.714,37,0,287,210,0,114,0
Census Regions,East North Central,2013,4,690,34.6377,3,0,146,40,0,50,0
Census Regions,West North Central,2013,4,1747,28.3343,10,0,264,87,0,134,0
Census Regions,South Atlantic,2013,4,3605,27.2122,20,0,376,416,0,169,0
Census Regions,East South Central,2013,4,355,20.5634,0,0,56,3,0,14,0
Census Regions,West South Central,2013,4,3120,28.1731,8,0,156,397,0,318,0
Census Regions,Mountain,2013,4,3194,35.7232,34,0,571,261,0,275,0
Census Regions,Pacific,2013,4,2708,32.2009,27,0,554,203,0,88,0
Census Regions,New England,2013,5,509,23.3792,4,0,79,22,0,14,0
Census Regions,Mid-Atlantic,2013,5,2320,22.8448,22,0,219,166,0,123,0
Census Regions,East North Central,2013,5,603,35.4892,9,0,127,27,0,51,0
Census Regions,West North Central,2013,5,1412,27.3371,6,0,185,66,0,129,0
Census Regions,South Atlantic,2013,5,3221,22.3844,18,0,256,221,0,226,0
Census Regions,East South Central,2013,5,293,25.5973,3,0,43,3,0,26,0
Census Regions,West South Central,2013,5,2403,25.8427,5,0,142,235,0,239,0
Census Regions,Mountain,2013,5,2901,29.0245,24,0,413,170,0,235,0
Census Regions,Pacific,2013,5,2566,31.021,52,0,488,141,0,115,0
Census Regions,New England,2013,6,397,21.4106,4,0,50,17,0,14,0
Census Regions,Mid-Atlantic,2013,6,1859,20.9252,21,0,104,82,0,182,0
Census Regions,East North Central,2013,6,500,27.2,6,0,63,17,0,50,0
Census Regions,West North Central,2013,6,1396,20.8453,10,0,104,47,0,130,0
Census Regions,South Atlantic,2013,6,3033,21.9914,23,0,167,180,0,297,0
Census Regions,East South Central,2013,6,309,20.0647,2,0,28,1,0,31,0
Census Regions,West South Central,2013,6,1948,21.5606,6,0,83,171,0,160,0
Census Regions,Mountain,2013,6,2705,24.4362,32,0,269,153,0,207,0
Census Regions,Pacific,2013,6,2344,24.872,17,0,337,112,0,117,0
Census Regions,New England,2013,7,304,18.75,1,0,29,6,0,21,0
Census Regions,Mid-Atlantic,2013,7,1668,22.8417,15,0,85,70,0,211,0
Census Regions,East North Central,2013,7,432,21.2963,3,0,45,10,0,34,0
Census Regions,West North Central,2013,7,1240,19.4355,7,0,67,29,0,138,0
Census Regions,South Atlantic,2013,7,2907,22.291,9,0,126,155,0,358,0
Census Regions,East South Central,2013,7,264,18.5606,0,0,19,0,0,30,0
Census Regions,West South Central,2013,7,1576,14.5939,5,0,55,72,0,98,0
Census Regions,Mountain,2013,7,2290,23.1878,28,0,175,110,0,218,0
Census Regions,Pacific,2013,7,2010,20.9453,10,0,243,82,0,86,0
Census Regions,New England,2013,8,302,19.2053,5,0,20,2,0,31,0
Census Regions,Mid-Atlantic,2013,8,1466,21.6917,8,0,55,60,0,195,0
Census Regions,East North Central,2013,8,412,29.3689,4,0,39,6,0,72,0
Census Regions,West North Central,2013,8,1118,14.1324,6,0,37,18,0,97,0
Census Regions,South Atlantic,2013,8,2758,22.1537,14,0,81,132,0,384,0
Census Regions,East South Central,2013,8,233,17.5966,2,0,7,2,0,30,0
Census Regions,West South Central,2013,8,1461,15.7426,5,0,32,62,0,131,0
Census Regions,Mountain,2013,8,1922,19.4069,26,0,100,63,0,184,0
Census Regions,Pacific,2013,8,1682,21.7004,8,0,204,52,0,101,0
Census Regions,New England,2013,9,235,22.9787,1,0,19,6,0,28,0
Census Regions,Mid-Atlantic,2013,9,1464,19.3306,11,0,38,30,0,204,0
Census Regions,East North Central,2013,9,384,22.6563,3,0,24,5,0,55,0
Census Regions,West North Central,2013,9,1043,13.8063,6,0,39,15,0,84,0
Census Regions,South Atlantic,2013,9,2799,21.5077,11,0,59,105,0,427,0
Census Regions,East South Central,2013,9,223,17.4888,4,0,14,2,0,19,0
Census Regions,West South Central,2013,9,1276,14.7335,3,0,25,41,0,119,0
Census Regions,Mountain,2013,9,1583,17.4984,13,0,64,56,0,144,0
Census Regions,Pacific,2013,9,1497,19.5725,8,0,135,49,0,101,0
Census Regions,New England,2013,10,216,19.4444,2,0,7,7,0,26,0
Census Regions,Mid-Atlantic,2013,10,1342,19.9702,15,0,29,26,0,198,0
Census Regions,East North Central,2013,10,341,24.6334,7,0,18,2,0,57,0
Census Regions,West North Central,2013,10,979,13.7896,2,0,38,12,0,83,0
Census Regions,South Atlantic,2013,10,2781,22.2941,10,0,51,73,0,486,0
Census Regions,East South Central,2013,10,212,10.3774,2,0,7,0,0,13,0
Census Regions,West South Central,2013,10,1384,12.211,4,0,21,46,0,98,0
Census Regions,Mountain,2013,10,1417,16.1609,24,0,58,22,0,125,0
Census Regions,Pacific,2013,10,1493,16.8788,4,0,101,29,0,118,0
Census Regions,New England,2013,11,263,12.1673,0,0,3,0,0,29,0
Census Regions,Mid-Atlantic,2013,11,1376,19.4767,13,0,20,14,0,221,0
Census Regions,East North Central,2013,11,323,24.1486,4,0,6,2,0,66,0
Census Regions,West North Central,2013,11,851,12.1034,3,0,29,8,0,63,0
Census Regions,South Atlantic,2013,11,2722,21.6018,14,0,31,97,0,446,0
Census Regions,East South Central,2013,11,183,17.4863,0,0,3,1,0,28,0
Census Regions,West South Central,2013,11,1171,10.5892,0,0,11,28,0,85,0
Census Regions,Mountain,2013,11,1225,12.898,5,0,32,33,0,88,0
Census Regions,Pacific,2013,11,1445,16.1938,10,0,77,18,0,129,0
Census Regions,New England,2013,12,252,13.8889,0,0,2,2,0,31,0
Census Regions,Mid-Atlantic,2013,12,1297,18.6584,8,0,20,15,0,199,0
Census Regions,East North Central,2013,12,330,21.8182,0,0,18,3,0,51,0
Census Regions,West North Central,2013,12,782,13.1714,4,0,23,1,0,75,0
Census Regions,South Atlantic,2013,12,2315,20.6479,10,0,31,69,0,368,0
Census Regions,East South Central,2013,12,209,12.9187,2,0,3,1,0,21,0
Census Regions,West South Central,2013,12,1107,8.40108,1,0,6,23,0,63,0
Census Regions,Mountain,2013,12,1097,12.4886,9,0,19,18,0,91,0
Census Regions,Pacific,2013,12,1258,15.0238,2,0,57,12,0,118,0
Census Regions,New England,2013,13,223,14.7982,0,0,2,4,0,27,0
Census Regions,Mid-Atlantic,2013,13,1104,19.5652,14,0,19,6,0,177,0
Census Regions,East North Central,2013,13,247,20.2429,3,0,8,3,0,36,0
Census Regions,West North Central,2013,13,772,11.5285,2,0,17,7,0,63,0
Census Regions,South Atlantic,2013,13,2172,17.5875,10,0,26,44,0,302,0
Census Regions,East South Central,2013,13,163,12.2699,2,0,2,2,0,14,0
Census Regions,West South Central,2013,13,910,7.14286,1,0,3,9,0,52,0
Census Regions,Mountain,2013,13,955,8.6911,6,0,9,8,0,60,0
Census Regions,Pacific,2013,13,1176,15.1361,3,0,38,15,0,122,0
Census Regions,New England,2013,14,221,22.6244,2,0,4,6,0,38,0
Census Regions,Mid-Atlantic,2013,14,977,14.4319,9,0,12,6,0,114,0
Census Regions,East North Central,2013,14,212,24.0566,2,0,4,5,0,40,0
Census Regions,West North Central,2013,14,701,9.27247,1,0,19,3,0,42,0
Census Regions,South Atlantic,2013,14,1816,18.8326,8,0,19,43,0,272,0
Census Regions,East South Central,2013,14,124,16.9355,0,0,1,0,0,20,0
Census Regions,West South Central,2013,14,841,6.06421,0,0,4,16,0,31,0
Census Regions,Mountain,2013,14,807,8.05452,4,0,9,12,0,40,0
Census Regions,Pacific,2013,14,1083,14.6814,4,0,49,16,0,90,0
Census Regions,New England,2013,15,235,19.1489,3,0,0,3,0,39,0
Census Regions,Mid-Atlantic,2013,15,894,12.0805,11,0,8,1,0,88,0
Census Regions,East North Central,2013,15,208,9.13462,5,0,1,3,0,10,0
Census Regions,West North Central,2013,15,630,7.14286,1,0,14,4,0,26,0
Census Regions,South Atlantic,2013,15,1581,13.7887,14,0,5,30,0,169,0
Census Regions,East South Central,2013,15,147,8.84354,2,0,2,1,0,8,0
Census Regions,West South Central,2013,15,835,3.47305,4,0,1,5,0,19,0
Census Regions,Mountain,2013,15,690,5.50725,4,0,6,6,0,22,0
Census Regions,Pacific,2013,15,978,15.9509,4,0,32,12,0,108,0
Census Regions,New England,2013,16,246,12.1951,4,0,1,1,0,24,0
Census Regions,Mid-Atlantic,2013,16,745,8.85906,6,0,2,1,0,57,0
Census Regions,East North Central,2013,16,219,19.1781,2,0,8,3,0,29,0
Census Regions,West North Central,2013,16,533,5.81614,2,0,8,0,0,21,0
Census Regions,South Atlantic,2013,16,1321,8.32702,3,0,8,26,0,73,0
Census Regions,East South Central,2013,16,150,4,1,0,0,0,0,5,0
Census Regions,West South Central,2013,16,770,2.5974,3,0,0,7,0,10,0
Census Regions,Mountain,2013,16,606,4.29043,3,0,7,2,0,14,0
Census Regions,Pacific,2013,16,985,15.9391,6,0,45,7,0,99,0
Census Regions,New England,2013,17,160,12.5,0,0,0,0,0,20,0
Census Regions,Mid-Atlantic,2013,17,713,5.75035,6,0,4,1,0,30,0
Census Regions,East North Central,2013,17,172,19.7674,17,0,4,3,0,10,0
Census Regions,West North Central,2013,17,513,3.50877,5,0,3,2,0,8,0
Census Regions,South Atlantic,2013,17,1164,6.87285,2,0,2,26,0,50,0
Census Regions,East South Central,2013,17,114,1.75439,0,0,0,0,0,2,0
Census Regions,West South Central,2013,17,710,2.25352,2,0,1,3,0,10,0
Census Regions,Mountain,2013,17,606,1.9802,0,0,3,1,0,8,0
Census Regions,Pacific,2013,17,943,17.8155,2,0,43,12,0,111,0
Census Regions,New England,2013,18,183,9.28962,0,0,1,1,0,15,0
Census Regions,Mid-Atlantic,2013,18,723,4.426,5,0,5,0,0,22,0
Census Regions,East North Central,2013,18,142,5.6338,3,0,1,0,0,4,0
Census Regions,West North Central,2013,18,586,4.26621,2,0,7,1,0,15,0
Census Regions,South Atlantic,2013,18,1080,5.74074,4,0,3,13,0,42,0
Census Regions,East South Central,2013,18,125,1.6,0,0,1,0,0,1,0
Census Regions,West South Central,2013,18,666,1.65165,1,0,1,2,0,7,0
Census Regions,Mountain,2013,18,552,2.35507,1,0,1,1,0,10,0
Census Regions,Pacific,2013,18,862,17.8654,2,0,35,11,0,106,0
Census Regions,New England,2013,19,167,5.98802,1,0,0,0,0,9,0
Census Regions,Mid-Atlantic,2013,19,719,3.05981,7,0,4,0,0,11,0
Census Regions,East North Central,2013,19,138,2.17391,0,0,0,0,0,3,0
Census Regions,West North Central,2013,19,534,1.87266,1,0,2,1,0,6,0
Census Regions,South Atlantic,2013,19,950,6.31579,1,0,0,21,0,38,0
Census Regions,East South Central,2013,19,48,2.08333,0,0,0,0,0,1,0
Census Regions,West South Central,2013,19,586,1.70648,0,0,0,1,0,9,0
Census Regions,Mountain,2013,19,540,2.77778,0,0,3,1,0,11,0
Census Regions,Pacific,2013,19,791,14.0329,3,0,27,3,0,78,0
Census Regions,New England,2013,20,176,2.27273,1,0,0,0,0,3,0
Census Regions,Mid-Atlantic,2013,20,553,3.25497,5,0,3,2,0,8,0
Census Regions,East North Central,2013,20,153,1.30719,0,0,1,0,0,1,0
Census Regions,West North Central,2013,20,429,2.0979,0,0,1,0,0,8,0
Census Regions,South Atlantic,2013,20,902,3.7694,2,0,0,11,0,21,0
Census Regions,East South Central,2013,20,40,2.5,1,0,0,0,0,0,0
Census Regions,West South Central,2013,20,516,0.193798,0,0,0,1,0,0,0
Census Regions,Mountain,2013,20,475,1.89474,2,0,2,1,0,4,0
Census Regions,Pacific,2013,20,858,12.2378,0,0,17,7,0,81,0
Census Regions,New England,2013,21,153,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2013,21,587,2.55537,6,0,6,1,0,2,0
Census Regions,East North Central,2013,21,149,4.69799,3,0,0,0,0,4,0
Census Regions,West North Central,2013,21,407,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,2013,21,887,5.74972,2,0,0,17,0,32,0
Census Regions,East South Central,2013,21,219,2.73973,2,0,2,0,0,2,0
Census Regions,West South Central,2013,21,439,0.455581,1,0,0,0,0,1,0
Census Regions,Mountain,2013,21,480,1.45833,0,0,0,0,0,7,0
Census Regions,Pacific,2013,21,776,11.7268,1,0,13,2,0,75,0
Census Regions,New England,2013,22,151,0,0,0,0,0,0,0,0
Census Regions,Mid-Atlantic,2013,22,509,2.35756,5,0,3,0,0,4,0
Census Regions,East North Central,2013,22,127,0.787402,0,0,0,0,0,1,0
Census Regions,West North Central,2013,22,362,0.276243,0,0,1,0,0,0,0
Census Regions,South Atlantic,2013,22,775,6.45161,2,0,0,21,0,27,0
Census Regions,East South Central,2013,22,95,7.36842,4,0,1,0,0,2,0
Census Regions,West South Central,2013,22,431,1.16009,1,0,0,2,0,2,0
Census Regions,Mountain,2013,22,424,0.707547,1,0,0,0,0,2,0
Census Regions,Pacific,2013,22,713,10.0982,1,0,9,5,0,57,0
Census Regions,New England,2013,23,158,0.632911,0,0,0,0,0,1,0
Census Regions,Mid-Atlantic,2013,23,516,3.10078,11,0,2,0,0,3,0
Census Regions,East North Central,2013,23,105,1.90476,0,0,0,0,0,2,0
Census Regions,West North Central,2013,23,387,0,0,0,0,0,0,0,0
Census Regions,South Atlantic,2013,23,746,5.49598,0,0,1,22,0,18,0
Census Regions,East South Central,2013,23,36,2.77778,1,0,0,0,0,0,0
Census Regions,West South Central,2013,23,416,1.20192,1,0,0,1,0,3,0
Census Regions,Mountain,2013,23,432,0.231481,1,0,0,0,0,0,0
Census Regions,Pacific,2013,23,780,9.10256,0,0,10,6,0,55,0
